xi_1,xi_2,P
1.7342344196369757,0.611292557039285,0.0
1.7416173401068118,0.6174184259454624,0.0
1.7489386337656119,0.6236178165349646,0.0
1.7561975684901112,0.629890108873899,0.0
1.763393418392887,0.636234675738259,0.0
1.7705254638949441,0.6426508826766442,0.0
1.7775929917976765,0.6491380880737081,0.0
1.7845952953541835,0.6556956432143172,0.0
1.791531674339945,0.6623228923484222,0.0
1.798401435122842,0.6690191727566317,0.0
1.8052038907325207,0.6757838148164854,0.0
1.81193836092909,0.6826161420694146,0.0
1.8186041722711423,0.6895154712883882,0.0
1.8252006581830966,0.6964811125462322,0.0
1.83172715902186,0.7035123692846267,0.0
1.8381830221427875,0.7106085383837568,0.0
1.8445676019649468,0.7177689102326267,0.0
1.8508802600356753,0.7249927688000173,0.0
1.857120365094427,0.7322793917060924,0.0
1.8632872931358961,0.7396280502946333,0.0
1.8693804274724184,0.7470380097059061,0.0
1.875399158795636,0.7545085289501428,0.0
1.8813428852374336,0.7620388609816455,0.0
1.8872110124301194,0.769628252773486,0.0
1.8930029535658646,0.7772759453928096,0.0
1.8987181294553828,0.7849811740767284,0.0
1.9043559685858464,0.7927431683087934,0.0
1.909915907178041,0.8005611518960504,0.0
1.9153973892427412,0.8084343430466557,0.0
1.9207998666363082,0.8163619544480559,0.0
1.9261227991155039,0.8243431933457157,0.0
1.931365654391517,0.832377261622397,0.0
1.9365279081831885,0.8404633558779675,0.0
1.941609044269442,0.8486006675097404,0.0
1.9466085545409018,0.8567883827933322,0.0
1.9515259390507076,0.8650256829640386,0.0
1.9563607060645065,0.8733117442987066,0.0
1.961112372109626,0.8816457381981087,0.0
1.9657804620234207,0.8900268312697983,0.0
1.9703645090007897,0.8984541854114534,0.0
1.9748640546408553,0.9069269578946824,0.0
1.9792786489928036,0.9154443014492983,0.0
1.9836078506008774,0.9240053643480423,0.0
1.9878512265485235,0.9326092904917591,0.0
1.992008352501684,0.9412552194950042,0.0
1.9960788127512277,0.9499422867720833,0.0
2.000062200254521,0.958669623623506,0.0
2.0039581166761335,0.967436357322861,0.0
2.00776617242767,0.9762416112040837,0.0
2.0114859867067283,0.9850845047491239,0.0
2.0151171875349805,0.9939641536759967,0.0
2.0186594117953693,1.0028796700272076,0.0
2.022112305268421,1.0118301622585517,0.0
2.0254755226676653,1.020814735328265,0.0
2.0287487276741656,1.0298324907865282,0.0
2.0319315929701487,1.0388825268653084,0.0
2.0350238002717367,1.0479639385685404,0.0
2.0380250403607767,1.057075817762622,0.0
2.040935013115761,1.0662172532672274,0.0
2.0437534275418394,1.0753873309464224,0.0
2.046480001799917,1.0845851338000818,0.0
2.0491144632348406,1.093809742055585,0.0
2.0516565484026628,1.103060233259794,0.0
2.054106003096984,1.1123356823712962,0.0
2.0564625823743765,1.1216351618529101,0.0
2.0587260505788763,1.1309577417644376,0.0
2.0608961813655498,1.1403024898556569,0.0
2.062972757723126,1.1496684716595444,0.0
2.064955571995699,1.1590547505857258,0.0
2.0668444259034957,1.16846038801413,0.0
2.0686391305626985,1.1778844433888531,0.0
2.0703395065043364,1.1873259743122095,0.0
2.071945383692233,1.1967840366389755,0.0
2.0734566015400073,1.2062576845708002,0.0
2.0748730089271343,1.2157459707507856,0.0
2.0761944642140553,1.2252479463582193,0.0
2.077420835256343,1.2347626612034597,0.0
2.0785519994179147,1.2442891638229507,0.0
2.0795878435832975,1.2538265015743697,0.0
2.080528264168938,1.2633737207318896,0.0
2.0813731671335605,1.2729298665815494,0.0
2.0821224679875736,1.282493983516728,0.0
2.082776091801516,1.2920651151337021,0.0
2.0833339732135507,1.3016423043272871,0.0
2.083796056436002,1.3112245933865425,0.0
2.084162295260932,1.3208110240905486,0.0
2.0844326530647637,1.3304006378042235,0.0
2.084607102811942,1.3399924755741883,0.0
2.084685627057638,1.3495855782246573,0.0
